state,status,AQI-US,PM2.5,PM10,Temp,Humid
Andhra Pradesh,MODERATE,56,16,31,28,74
Arunachal Pradesh,GOOD,39,11,17,21,100
Assam,GOOD,46,13,20,23,98
Bihar,MODERATE,87,28,53,31,58
Chandigarh,POOR,107,38,49,25,53
Chhattisgarh,MODERATE,67,20,46,27,72
Dadra And Nagar Haveli,MODERATE,62,16,35,27,82
Daman And Diu,MODERATE,61,16,33,28,79
Delhi,POOR,108,37,113,29,58
Goa,GOOD,30,8,20,27,81
Gujarat,MODERATE,68,20,42,30,68
Haryana,MODERATE,100,35,73,28,64
Himachal Pradesh,MODERATE,76,21,46,14,73
Jammu And Kashmir,MODERATE,64,15,38,13,86
Jharkhand,MODERATE,78,22,52,27,71
Karnataka,GOOD,40,10,29,23,82
Kerala,MODERATE,60,19,39,25,87
Madhya Pradesh,MODERATE,57,14,53,27,69
Maharashtra,MODERATE,62,16,51,27,76
Manipur,GOOD,28,7,12,20,98
Meghalaya,MODERATE,55,16,23,20,98
Mizoram,GOOD,14,2,5,19,100
Nagaland,GOOD,25,6,10,17,97
Odisha,MODERATE,79,25,42,26,84
Puducherry,MODERATE,54,15,31,28,80
Punjab,MODERATE,73,22,51,27,57
Rajasthan,POOR,107,38,67,29,61
Sikkim,MODERATE,70,21,54,18,96
Tamil Nadu,MODERATE,61,17,36,27,77
Telangana,MODERATE,69,21,31,29,62
Tripura,GOOD,14,2,5,24,96
Uttar Pradesh,MODERATE,96,34,85,29,61
Uttarakhand,POOR,108,38,59,20,67
West Bengal,MODERATE,68,20,45,26,84
